"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 22 02:02:42 MSK 2026","Wed Jul 22 02:02:42 MSK 2026","152","","api.CreateUserTest","","api.CreateUserTest","createUserWithoutRequiredField","Создание пользователя без email","Проверка ошибки при регистрации без обязательного поля email"
"passed","Wed Jul 22 02:02:30 MSK 2026","Wed Jul 22 02:02:32 MSK 2026","1463","","api.CreateOrderTest","","api.CreateOrderTest","createOrderWithoutAuth","Создание заказа без авторизации","Проверка создания заказа гостем без токена авторизации"
"passed","Wed Jul 22 02:02:33 MSK 2026","Wed Jul 22 02:02:38 MSK 2026","4886","","api.CreateOrderTest","","api.CreateOrderTest","createOrderWithIngredients","Создание заказа с ингредиентами","Проверка создания заказа с одним валидным ингредиентом"
"passed","Wed Jul 22 02:02:39 MSK 2026","Wed Jul 22 02:02:40 MSK 2026","1062","","api.CreateUserTest","","api.CreateUserTest","createUniqueUser","Создание уникального пользователя","Проверка успешной регистрации нового пользователя с валидными данными"
"passed","Wed Jul 22 02:02:38 MSK 2026","Wed Jul 22 02:02:39 MSK 2026","1355","","api.CreateOrderTest","","api.CreateOrderTest","createOrderWithoutIngredients","Создание заказа без ингредиентов","Проверка ошибки при создании заказа без списка ингредиентов"
"passed","Wed Jul 22 02:02:22 MSK 2026","Wed Jul 22 02:02:30 MSK 2026","8000","","api.CreateOrderTest","","api.CreateOrderTest","createOrderWithAuth","Создание заказа с авторизацией","Проверка успешного создания заказа авторизованным пользователем"
"passed","Wed Jul 22 02:02:40 MSK 2026","Wed Jul 22 02:02:42 MSK 2026","1173","","api.CreateUserTest","","api.CreateUserTest","createExistingUser","Создание существующего пользователя","Проверка ошибки при попытке зарегистрировать пользователя с уже существующим email"
"passed","Wed Jul 22 02:02:40 MSK 2026","Wed Jul 22 02:02:40 MSK 2026","152","","api.CreateUserTest","","api.CreateUserTest","createUserWithoutPassword","Создание пользователя без пароля","Проверка ошибки при регистрации без обязательного поля password"
"passed","Wed Jul 22 02:02:44 MSK 2026","Wed Jul 22 02:02:46 MSK 2026","1229","","api.LoginUserTest","","api.LoginUserTest","loginExistingUser","Вход по существующим пользователем","Проверка успешной авторизации зарегистрированного пользователя"
"passed","Wed Jul 22 02:02:42 MSK 2026","Wed Jul 22 02:02:42 MSK 2026","154","","api.CreateUserTest","","api.CreateUserTest","createUserWithoutName","Создание пользователя без имени","Проверка ошибки при регистрации без обязательного поля name"
"passed","Wed Jul 22 02:02:32 MSK 2026","Wed Jul 22 02:02:33 MSK 2026","1363","","api.CreateOrderTest","","api.CreateOrderTest","createOrderWithWrongHash","Создание заказа с неверным хешем ингредиентов","Проверка ошибки при использовании невалидного хеша ингредиентов"
"passed","Wed Jul 22 02:02:43 MSK 2026","Wed Jul 22 02:02:44 MSK 2026","1163","","api.LoginUserTest","","api.LoginUserTest","loginWithWrongEmail","Вход с неверным email","Проверка ошибки при вводе несуществующего email"
"passed","Wed Jul 22 02:02:42 MSK 2026","Wed Jul 22 02:02:43 MSK 2026","1256","","api.LoginUserTest","","api.LoginUserTest","loginWithWrongPassword","Вход с неверным паролем","Проверка ошибки при вводе неверного пароля"
